Original Text ID,Original FKGL,Original Word Count,E1 FKGL,E1 Word Count,E2 Word Count,E2 FKGL,E3 Word Count,E3 FKGL,E4 Word Count,E4 FKGL,E5 Word Count,E5 FKGL,E6 Word Count,E6 FKGL,E7 Word Count,E7 FKGL,M1 Word Count,M1 FKGL,M2 Word Count,M2 FKGL,H1 Word Count,H1 FKGL,H2 Word Count,H2 FKGL,M3 Word Count,M3 FKGL,H3 Word Count,H3 FKGL,M4 Word Count,M4 FKGL,H4 Word Count,H4 FKGL,H5 Word Count,H5 FKGL,M5 Word Count,M5 FKGL,M6 Word Count,M6 FKGL,H6 Word Count,H6 FKGL,H7 Word Count,H7 FKGL,M7 Word Count,M7 FKGL
A,10.91,587,3.48,210,118,1.59,178,6.95,49,5.32,46,4.54,72,4.5,110,1.63,224,6.53,179,4.24,262,8.36,204,8.07,125,10.44,318,9.95,81,6.46,132,9.52,103,12.49,58,6.84,237,7.6,262,8.26,181,7.25,150,4.39
B,12.05,662,5.17,282,133,5.26,243,7.93,91,8.9,105,6.33,104,6.43,368,3.95,333,6.71,347,7.7,350,11.66,374,7.55,225,7.92,353,10.24,178,7.25,219,14.77,121,13.03,100,9.63,264,9.18,170,10.95,188,8.95,185,6.22
C,13.69,486,2.9,112,190,4.67,194,7.6,140,5.29,89,3.6,135,5.72,200,1.11,282,4.36,187,5.55,257,7.55,234,8.12,197,9.59,251,9.06,140,6.58,129,9.62,107,10.33,106,5.83,212,5.63,158,7.2,169,6.99,111,0.62
D,14.53,688,6.98,275,83,3.31,67,5.31,175,7.34,102,5.94,123,5.56,188,3.18,298,8.99,144,9.09,337,9.5,238,13.71,254,11.86,344,13.31,108,7.6,150,10.52,132,12.15,68,7.89,239,9.93,209,10.52,265,9.97,178,4.77
E,16.12,630,7.86,328,244,7.33,165,6.01,102,5.71,100,6.13,161,6.32,130,1.66,259,8.18,184,6.48,293,10.28,192,9.41,169,8.15,260,9.38,190,6.79,300,11.39,169,12.41,89,7.17,291,8.91,193,7.1,267,9.17,100,3.24
F,12.36,866,5.48,109,108,5.26,183,7.02,131,8.45,100,8.63,129,8.52,140,3.14,265,5.91,216,5.07,466,7.97,466,7.97,876,12.36,313,11.27,176,6.52,175,13.78,94,9.86,94,5.43,197,6.29,165,7.53,197,9.91,183,4.11
G,12.54,919,4.86,133,122,5.75,289,9.93,198,3.84,151,11.78,145,5.93,224,3.06,209,4.73,211,4.85,209,5.86,296,7.81,294,11.05,386,10.69,216,5.97,180,11.16,110,8.13,103,6.3,192,5.78,252,7.73,221,7.05,109,1.9
H,12.87,828,5.88,84,76,6.49,98,6.97,109,5.48,101,8.26,83,6.58,232,3.26,245,6.59,228,6.27,196,6.54,274,7.53,109,6.83,187,8.36,82,5.82,131,11.35,79,9.56,84,5.19,105,4.2,144,7.4,178,5.3,126,4.16
I,13.1,842,7.68,101,101,7.68,134,12.47,147,9.16,158,10.32,106,8.11,146,3.49,246,6.38,265,6.85,233,7.36,205,7.04,188,11.28,211,11.17,158,9.33,186,10.57,110,8.88,66,8.15,231,7.45,281,8.87,218,7.32,126,5.57
J,15.65,685,6.77,217,219,6.43,108,11.44,133,9.26,136,7.87,109,5.96,88,1.6,246,5.77,246,5.77,330,12.76,289,6.93,241,10.19,214,10.73,165,8.58,124,13.49,94,11.36,54,10,179,8.71,309,10.16,197,5.05,108,5.35